relative_path,size_bytes,sha256
workflows/14_p4_encoder_finetuning/run.py,2630,cfbce7d7eab85d79bd88617454ef3927e11ce23a0ca14ba656e9418c5733e041
workflows/14_p4_encoder_finetuning/plot_results.py,4498,4f5f57c05c1e4b0a8f1799733911a41d2e041528651bc0cda848c6b85675c347
workflows/14_p4_encoder_finetuning/p4_encoder_ft/__init__.py,142,8760ec2957d74a3b89dc4c3024c71a375c417b78c831d98f0c782b2d1e0be1e0
workflows/14_p4_encoder_finetuning/p4_encoder_ft/constants.py,4741,e43b602676c4e8935d9c280159d8a9f29f12328382e4bae45ae7ebe2efb2a58d
workflows/14_p4_encoder_finetuning/p4_encoder_ft/finetune.py,11252,b5cf68587fa841b1a44cd01c46641e3e9f26b62dbf914f2a45c5373362cad91d
workflows/14_p4_encoder_finetuning/p4_encoder_ft/source_selection.py,17480,d241aa00361569fa216564ca4717a17335642880077b5c4789b0492cec6d5e29
workflows/14_p4_encoder_finetuning/p4_encoder_ft/study.py,61455,9b26d8fc24cddbca0845ee275d412ddbd8cbac99afca60cb3eb0072b1ba2a888
workflows/13_p4_trainable_linear_readout/p4_linear_readout/linear.py,6523,bea512c71828608532a972ed785ca167cd5764d239a327e5eacbfbbdf08af21c
workflows/13_p4_trainable_linear_readout/p4_linear_readout/manifests.py,5576,dd15ccca50d9ff68541d58f67a797b8f33c3562c7a67f22e6ac178f06df9cf56
workflows/12_p4_large_calibration_curve/p4_large_calibration/sampling.py,8578,f5443c28e4eceb6e0426307f65247e581fb1cf033646caf521528899b7269846
workflows/12_p4_large_calibration_curve/p4_large_calibration/statistics.py,7595,3138dccf07607ca4e81cfff0fa585fe7c5fb9d395ed03361edbc98cead905879
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/artifacts.py,1669,8b306f2b7e00cb77f16c499ba9ffd2e13c4719d08a6d71f3d6e8193ebc6ad972
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/constants.py,5013,6db8061cba56000a4d9bc2be1c16f147f2e1c49b956af402903a7fee6cf2790a
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/data.py,11186,2d515cb8a9a30d9e2fa374995315cbf62088c9a70fdc066c97c3b02eb638fcce
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/metrics.py,4514,ecedb77b08573ed40debc31d4752ca3da84b6098c11bbce9f89f3cb42f722c1f
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/models.py,12989,8f2253b5609a0ee60382909dcf5a3e81bf1e3081632b0dffd4af1832a5349374
workflows/11_p4_factor_aware_few_shot/p4_factor_aware/protocol.py,5489,d7a413cfb6c2781a8a5f4d3f93887c8acb5d96164b3a1603a9a6940544272f45
tests/test_p4_encoder_finetuning.py,5742,692b4a3bb3f251b8d40c2c927ab8eaf3c005e889d75a6367c7acf737e2476de6
configs/p4_encoder_finetuning/preregistration.json,10185,1a56eb90bfd920f81b7f1be11ac122954d74197b6544184fcbb29bdaf66fe127
