support_selection_id,strategy,budget,total_labelled_rows,fold,support_seed,class_index,factor_cell,support_row_ordinal,labelled_rows_from_block
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,0,E0xS2,36,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,1,E0xS2,20,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,2,E0xS2,40,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,3,E0xS2,40,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,4,E0xS2,15,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,5,E0xS2,12,1
run_a93441a1c853cc7a734c,RANDOM_BLOCK,1,7,0,104729,6,E0xS2,44,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,0,E0xS1,22,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,0,E1xS2,28,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,0,E2xS1,3,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,1,E0xS1,14,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,1,E1xS2,19,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,1,E2xS1,19,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,2,E0xS1,39,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,2,E1xS2,34,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,2,E2xS1,3,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,3,E0xS1,1,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,3,E1xS2,0,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,3,E2xS1,27,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,4,E0xS1,6,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,4,E1xS2,39,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,4,E2xS1,41,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,5,E0xS1,21,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,5,E1xS2,37,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,5,E2xS1,35,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,6,E0xS1,38,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,6,E1xS2,23,1
run_7bdfeddaf1ac51f4848e,RANDOM_BLOCK,3,21,0,104729,6,E2xS1,37,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,0,E0xS1,22,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,0,E1xS2,28,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,0,E2xS0,24,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,1,E0xS1,14,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,1,E1xS2,19,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,1,E2xS0,17,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,2,E0xS1,39,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,2,E1xS2,34,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,2,E2xS0,19,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,3,E0xS1,1,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,3,E1xS2,0,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,3,E2xS0,20,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,4,E0xS1,6,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,4,E1xS2,39,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,4,E2xS0,44,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,5,E0xS1,21,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,5,E1xS2,37,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,5,E2xS0,31,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,6,E0xS1,38,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,6,E1xS2,23,1
run_1b6363a154035be443e5,ER_BALANCED,3,21,0,104729,6,E2xS0,30,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,0,E1xS0,19,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,0,E1xS2,28,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,0,E2xS1,3,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,1,E1xS0,27,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,1,E1xS2,19,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,1,E2xS1,19,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,2,E1xS0,28,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,2,E1xS2,34,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,2,E2xS1,3,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,3,E1xS0,13,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,3,E1xS2,0,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,3,E2xS1,27,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,4,E1xS0,18,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,4,E1xS2,39,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,4,E2xS1,41,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,5,E1xS0,15,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,5,E1xS2,37,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,5,E2xS1,35,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,6,E1xS0,37,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,6,E1xS2,23,1
run_e316fdb5b2b1139163e5,SURFACE_BALANCED,3,21,0,104729,6,E2xS1,37,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,0,E0xS1,22,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,0,E1xS2,28,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,0,E2xS0,24,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,1,E0xS1,14,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,1,E1xS2,19,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,1,E2xS0,17,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,2,E0xS1,39,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,2,E1xS2,34,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,2,E2xS0,19,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,3,E0xS1,1,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,3,E1xS2,0,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,3,E2xS0,20,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,4,E0xS1,6,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,4,E1xS2,39,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,4,E2xS0,44,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,5,E0xS1,21,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,5,E1xS2,37,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,5,E2xS0,31,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,6,E0xS1,38,1
run_3c5c52f75aeefdbda4cc,JOINT_FACTOR_COVERAGE,3,21,0,104729,6,E1xS2,23,1
