index,frequency_ghz,mapping_status
0,5,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
1,5.01071428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
2,5.02142857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
3,5.03214285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
4,5.04285714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
5,5.05357142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
6,5.06428571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
7,5.075,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
8,5.08571428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
9,5.09642857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
10,5.10714285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
11,5.11785714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
12,5.12857142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
13,5.13928571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
14,5.15,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
15,5.16071428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
16,5.17142857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
17,5.18214285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
18,5.19285714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
19,5.20357142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
20,5.21428571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
21,5.225,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
22,5.23571428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
23,5.24642857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
24,5.25714285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
25,5.26785714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
26,5.27857142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
27,5.28928571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
28,5.3,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
29,5.31071428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
30,5.32142857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
31,5.33214285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
32,5.34285714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
33,5.35357142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
34,5.36428571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
35,5.375,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
36,5.38571428571429,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
37,5.39642857142857,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
38,5.40714285714286,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
39,5.41785714285714,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
40,5.42857142857143,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
41,5.43928571428571,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
42,5.45,CONDITIONAL_LINEAR_5_TO_8_GHZ_NOT_AUTHORITATIVE_PHYSICAL_AXIS
