analysis,point_estimate,interval_95
source_fold_plus_seed_mean,0.013903463324773128,"[-0.014233215052822988, 0.050651785012082395]"
source_fold_plus_seed_worst,0.03941033973129819,"[-0.022333281478899597, 0.06072708355522666]"
p4_block_only_macro_f1,-0.01932995849115887,"[-0.055264673240522234, 0.01875015663035029]"
p4_block_plus_seed_macro_f1,-0.01932995849115887,"[-0.06693913485322048, 0.025387052020226227]"
p4_block_only_accuracy,0.025396825396825397,"[-0.015873015873015872, 0.06349206349206349]"
p4_block_plus_seed_accuracy,0.025396825396825397,"[-0.025396825396825397, 0.07619047619047618]"
leave_one_training_seed_out_42_macro_f1,-0.0164835285929238,
leave_one_training_seed_out_43_macro_f1,-0.02273000912384,
leave_one_training_seed_out_44_macro_f1,-0.019274618038148585,
leave_one_training_seed_out_45_macro_f1,-0.02209024492277149,
leave_one_training_seed_out_46_macro_f1,-0.01607139177811047,
held_position_sensitivity_P1,0.045435461698674975,
held_position_sensitivity_P2,-0.011967974796296715,
held_position_sensitivity_P3,0.008242903071941116,
penalty_weight_rank_1_lambda_1,0.16367200127797582,
penalty_weight_rank_2_lambda_10,0.0842651238052167,
penalty_weight_rank_3_lambda_1000,0.07064889950488826,
penalty_weight_rank_4_lambda_100,0.06561751161153263,
annealing_stage_validation_macro_f1_post_minus_warmup,0.022464288263745025,
source_worst_position_identity_erm_irm_agreement_fraction,0.6,
