paired_unit_id,TagID,ER,surface,held_fold,seed,positions,row_count_per_position,pairing_status
pair_a5d33fae02f85179aed284d5,1,0,A1,1,42,P1|P2|P3|P4,50,PASS
pair_a5d33fae02f85179aed284d5,1,0,A1,1,43,P1|P2|P3|P4,50,PASS
pair_a5d33fae02f85179aed284d5,1,0,A1,1,44,P1|P2|P3|P4,50,PASS
pair_a5d33fae02f85179aed284d5,1,0,A1,1,45,P1|P2|P3|P4,50,PASS
pair_a5d33fae02f85179aed284d5,1,0,A1,1,46,P1|P2|P3|P4,50,PASS
pair_06f946129d85357eaab1f4a3,1,0,A2,2,42,P1|P2|P3|P4,50,PASS
pair_06f946129d85357eaab1f4a3,1,0,A2,2,43,P1|P2|P3|P4,50,PASS
pair_06f946129d85357eaab1f4a3,1,0,A2,2,44,P1|P2|P3|P4,50,PASS
pair_06f946129d85357eaab1f4a3,1,0,A2,2,45,P1|P2|P3|P4,50,PASS
pair_06f946129d85357eaab1f4a3,1,0,A2,2,46,P1|P2|P3|P4,50,PASS
pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,42,P1|P2|P3|P4,50,PASS
pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,43,P1|P2|P3|P4,50,PASS
pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,44,P1|P2|P3|P4,50,PASS
pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,45,P1|P2|P3|P4,50,PASS
pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,46,P1|P2|P3|P4,50,PASS
pair_7ca7da9af7b85c410bd18ebf,1,1,A1,2,42,P1|P2|P3|P4,50,PASS
pair_7ca7da9af7b85c410bd18ebf,1,1,A1,2,43,P1|P2|P3|P4,50,PASS
pair_7ca7da9af7b85c410bd18ebf,1,1,A1,2,44,P1|P2|P3|P4,50,PASS
pair_7ca7da9af7b85c410bd18ebf,1,1,A1,2,45,P1|P2|P3|P4,50,PASS
pair_7ca7da9af7b85c410bd18ebf,1,1,A1,2,46,P1|P2|P3|P4,50,PASS
pair_e195f2804f0b5f8f422f131d,1,1,A2,3,42,P1|P2|P3|P4,50,PASS
pair_e195f2804f0b5f8f422f131d,1,1,A2,3,43,P1|P2|P3|P4,50,PASS
pair_e195f2804f0b5f8f422f131d,1,1,A2,3,44,P1|P2|P3|P4,50,PASS
pair_e195f2804f0b5f8f422f131d,1,1,A2,3,45,P1|P2|P3|P4,50,PASS
pair_e195f2804f0b5f8f422f131d,1,1,A2,3,46,P1|P2|P3|P4,50,PASS
pair_9a49df49f22a0194b25a4514,1,1,A3,1,42,P1|P2|P3|P4,50,PASS
pair_9a49df49f22a0194b25a4514,1,1,A3,1,43,P1|P2|P3|P4,50,PASS
pair_9a49df49f22a0194b25a4514,1,1,A3,1,44,P1|P2|P3|P4,50,PASS
pair_9a49df49f22a0194b25a4514,1,1,A3,1,45,P1|P2|P3|P4,50,PASS
pair_9a49df49f22a0194b25a4514,1,1,A3,1,46,P1|P2|P3|P4,50,PASS
pair_9b1812c4a2e2fe2310dae181,1,2,A1,3,42,P1|P2|P3|P4,50,PASS
pair_9b1812c4a2e2fe2310dae181,1,2,A1,3,43,P1|P2|P3|P4,50,PASS
pair_9b1812c4a2e2fe2310dae181,1,2,A1,3,44,P1|P2|P3|P4,50,PASS
pair_9b1812c4a2e2fe2310dae181,1,2,A1,3,45,P1|P2|P3|P4,50,PASS
pair_9b1812c4a2e2fe2310dae181,1,2,A1,3,46,P1|P2|P3|P4,50,PASS
pair_68d027990684c88efb84519d,1,2,A2,1,42,P1|P2|P3|P4,50,PASS
pair_68d027990684c88efb84519d,1,2,A2,1,43,P1|P2|P3|P4,50,PASS
pair_68d027990684c88efb84519d,1,2,A2,1,44,P1|P2|P3|P4,50,PASS
pair_68d027990684c88efb84519d,1,2,A2,1,45,P1|P2|P3|P4,50,PASS
pair_68d027990684c88efb84519d,1,2,A2,1,46,P1|P2|P3|P4,50,PASS
pair_0b62c82a069fc0ea6591502f,1,2,A3,2,42,P1|P2|P3|P4,50,PASS
pair_0b62c82a069fc0ea6591502f,1,2,A3,2,43,P1|P2|P3|P4,50,PASS
pair_0b62c82a069fc0ea6591502f,1,2,A3,2,44,P1|P2|P3|P4,50,PASS
pair_0b62c82a069fc0ea6591502f,1,2,A3,2,45,P1|P2|P3|P4,50,PASS
pair_0b62c82a069fc0ea6591502f,1,2,A3,2,46,P1|P2|P3|P4,50,PASS
pair_81bc687f4097da257888b87f,2,0,A1,1,42,P1|P2|P3|P4,50,PASS
pair_81bc687f4097da257888b87f,2,0,A1,1,43,P1|P2|P3|P4,50,PASS
pair_81bc687f4097da257888b87f,2,0,A1,1,44,P1|P2|P3|P4,50,PASS
pair_81bc687f4097da257888b87f,2,0,A1,1,45,P1|P2|P3|P4,50,PASS
pair_81bc687f4097da257888b87f,2,0,A1,1,46,P1|P2|P3|P4,50,PASS
pair_94f4ffc15b3d16f11a0aa0e8,2,0,A2,2,42,P1|P2|P3|P4,50,PASS
pair_94f4ffc15b3d16f11a0aa0e8,2,0,A2,2,43,P1|P2|P3|P4,50,PASS
pair_94f4ffc15b3d16f11a0aa0e8,2,0,A2,2,44,P1|P2|P3|P4,50,PASS
pair_94f4ffc15b3d16f11a0aa0e8,2,0,A2,2,45,P1|P2|P3|P4,50,PASS
pair_94f4ffc15b3d16f11a0aa0e8,2,0,A2,2,46,P1|P2|P3|P4,50,PASS
pair_a081c99efd1a83e18a18e6a2,2,0,A3,3,42,P1|P2|P3|P4,50,PASS
pair_a081c99efd1a83e18a18e6a2,2,0,A3,3,43,P1|P2|P3|P4,50,PASS
pair_a081c99efd1a83e18a18e6a2,2,0,A3,3,44,P1|P2|P3|P4,50,PASS
pair_a081c99efd1a83e18a18e6a2,2,0,A3,3,45,P1|P2|P3|P4,50,PASS
pair_a081c99efd1a83e18a18e6a2,2,0,A3,3,46,P1|P2|P3|P4,50,PASS
pair_480c0f52bb6b43895bc3ccb0,2,1,A1,2,42,P1|P2|P3|P4,50,PASS
pair_480c0f52bb6b43895bc3ccb0,2,1,A1,2,43,P1|P2|P3|P4,50,PASS
pair_480c0f52bb6b43895bc3ccb0,2,1,A1,2,44,P1|P2|P3|P4,50,PASS
pair_480c0f52bb6b43895bc3ccb0,2,1,A1,2,45,P1|P2|P3|P4,50,PASS
pair_480c0f52bb6b43895bc3ccb0,2,1,A1,2,46,P1|P2|P3|P4,50,PASS
pair_875b84cf0bd76e184ddc7573,2,1,A2,3,42,P1|P2|P3|P4,50,PASS
pair_875b84cf0bd76e184ddc7573,2,1,A2,3,43,P1|P2|P3|P4,50,PASS
pair_875b84cf0bd76e184ddc7573,2,1,A2,3,44,P1|P2|P3|P4,50,PASS
pair_875b84cf0bd76e184ddc7573,2,1,A2,3,45,P1|P2|P3|P4,50,PASS
pair_875b84cf0bd76e184ddc7573,2,1,A2,3,46,P1|P2|P3|P4,50,PASS
pair_a77ea0c9589b62285bf789e7,2,1,A3,1,42,P1|P2|P3|P4,50,PASS
pair_a77ea0c9589b62285bf789e7,2,1,A3,1,43,P1|P2|P3|P4,50,PASS
pair_a77ea0c9589b62285bf789e7,2,1,A3,1,44,P1|P2|P3|P4,50,PASS
pair_a77ea0c9589b62285bf789e7,2,1,A3,1,45,P1|P2|P3|P4,50,PASS
pair_a77ea0c9589b62285bf789e7,2,1,A3,1,46,P1|P2|P3|P4,50,PASS
pair_4df7117ad193f76bb25fe0ef,2,2,A1,3,42,P1|P2|P3|P4,50,PASS
