group_dimension,group_value,endpoint,contrast,estimate,physical_block_count,seed_count,role
TagID,1,condition_block_accuracy,angle_45_minus_0,-0.16666666666666666,9,5,exploratory_no_narrative_selection
TagID,1,condition_block_accuracy,distance_150_minus_50,0.07777777777777778,9,5,exploratory_no_narrative_selection
TagID,1,condition_block_accuracy,angle_by_distance_interaction,-0.1111111111111111,9,5,exploratory_no_narrative_selection
TagID,2,condition_block_accuracy,angle_45_minus_0,0.08888888888888889,9,5,exploratory_no_narrative_selection
TagID,2,condition_block_accuracy,distance_150_minus_50,-0.04444444444444444,9,5,exploratory_no_narrative_selection
TagID,2,condition_block_accuracy,angle_by_distance_interaction,0.044444444444444425,9,5,exploratory_no_narrative_selection
TagID,3,condition_block_accuracy,angle_45_minus_0,0.07777777777777778,9,5,exploratory_no_narrative_selection
TagID,3,condition_block_accuracy,distance_150_minus_50,-0.12222222222222223,9,5,exploratory_no_narrative_selection
TagID,3,condition_block_accuracy,angle_by_distance_interaction,0.24444444444444446,9,5,exploratory_no_narrative_selection
TagID,4,condition_block_accuracy,angle_45_minus_0,-0.22222222222222218,9,5,exploratory_no_narrative_selection
TagID,4,condition_block_accuracy,distance_150_minus_50,-0.2666666666666666,9,5,exploratory_no_narrative_selection
TagID,4,condition_block_accuracy,angle_by_distance_interaction,0.08888888888888885,9,5,exploratory_no_narrative_selection
TagID,5,condition_block_accuracy,angle_45_minus_0,-0.17777777777777776,9,5,exploratory_no_narrative_selection
TagID,5,condition_block_accuracy,distance_150_minus_50,0.1111111111111111,9,5,exploratory_no_narrative_selection
TagID,5,condition_block_accuracy,angle_by_distance_interaction,0.0,9,5,exploratory_no_narrative_selection
TagID,6,condition_block_accuracy,angle_45_minus_0,-0.2222222222222222,9,5,exploratory_no_narrative_selection
TagID,6,condition_block_accuracy,distance_150_minus_50,0.1111111111111111,9,5,exploratory_no_narrative_selection
TagID,6,condition_block_accuracy,angle_by_distance_interaction,0.04444444444444445,9,5,exploratory_no_narrative_selection
TagID,7,condition_block_accuracy,angle_45_minus_0,-0.15555555555555556,9,5,exploratory_no_narrative_selection
TagID,7,condition_block_accuracy,distance_150_minus_50,-0.2222222222222222,9,5,exploratory_no_narrative_selection
TagID,7,condition_block_accuracy,angle_by_distance_interaction,0.48888888888888893,9,5,exploratory_no_narrative_selection
ER,0,condition_block_accuracy,angle_45_minus_0,-0.14761904761904762,21,5,exploratory_no_narrative_selection
ER,0,condition_block_accuracy,distance_150_minus_50,0.004761904761904773,21,5,exploratory_no_narrative_selection
ER,0,condition_block_accuracy,angle_by_distance_interaction,0.009523809523809545,21,5,exploratory_no_narrative_selection
ER,1,condition_block_accuracy,angle_45_minus_0,-0.057142857142857134,21,5,exploratory_no_narrative_selection
ER,1,condition_block_accuracy,distance_150_minus_50,-0.019047619047619035,21,5,exploratory_no_narrative_selection
ER,1,condition_block_accuracy,angle_by_distance_interaction,0.07619047619047614,21,5,exploratory_no_narrative_selection
ER,2,condition_block_accuracy,angle_45_minus_0,-0.12857142857142856,21,5,exploratory_no_narrative_selection
ER,2,condition_block_accuracy,distance_150_minus_50,-0.1380952380952381,21,5,exploratory_no_narrative_selection
ER,2,condition_block_accuracy,angle_by_distance_interaction,0.2571428571428571,21,5,exploratory_no_narrative_selection
surface,A1,condition_block_accuracy,angle_45_minus_0,-0.13333333333333336,21,5,exploratory_no_narrative_selection
surface,A1,condition_block_accuracy,distance_150_minus_50,-0.15238095238095234,21,5,exploratory_no_narrative_selection
surface,A1,condition_block_accuracy,angle_by_distance_interaction,0.2857142857142857,21,5,exploratory_no_narrative_selection
surface,A2,condition_block_accuracy,angle_45_minus_0,-0.08571428571428572,21,5,exploratory_no_narrative_selection
surface,A2,condition_block_accuracy,distance_150_minus_50,0.028571428571428553,21,5,exploratory_no_narrative_selection
surface,A2,condition_block_accuracy,angle_by_distance_interaction,-0.0761904761904762,21,5,exploratory_no_narrative_selection
surface,A3,condition_block_accuracy,angle_45_minus_0,-0.11428571428571428,21,5,exploratory_no_narrative_selection
surface,A3,condition_block_accuracy,distance_150_minus_50,-0.028571428571428567,21,5,exploratory_no_narrative_selection
surface,A3,condition_block_accuracy,angle_by_distance_interaction,0.13333333333333333,21,5,exploratory_no_narrative_selection
