relative_path,size_bytes,sha256
.gitattributes,124,7262606de7110ba115f71b2399777dbf97b0905f4b1e57243056dbb001f5ff4e
.gitignore,956,133b60562d448d8ad592f20cb9a84ef0ed3e7289ffa6caed828c51fad5ec94fb
06_failure_mechanism/composition_warp/01_factor_interaction_check/report.md,3621,58fbae08372c145d6cad8dd0eba50de3eb640ff8d95679dd6623f257331457b6
06_failure_mechanism/composition_warp/01_factor_interaction_check/results/interaction_summary.csv,452078,3bb264c0ed1e07e58e0fae87e96c8f48754ef8d3547a341b87c0588142bc3410
06_failure_mechanism/composition_warp/01_factor_interaction_check/results/interaction_summary.json,6677,62941bff2bf943da9ce06c3d2a7228830da1e2406a4848cd24bd7bf59e7e12fe
06_failure_mechanism/composition_warp/01_factor_interaction_check/run.py,18273,9f399b6268e5f2573791e5ee85bd9e65cb77eccdc698dc7fc5d262d4ff3e3ca7
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/frozen_release/FROZEN_RELEASE_MANIFEST.json,5195,1394459b1175a251312e8f15d84a0a7601d59ae2bf5c0a0ded3b1d1c7b5e693c
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/frozen_release/preprocessing/state.json,3878,4e4d207ace7065190b718f6402c55f870d19224a896c70689b445e2b04963f90
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/frozen_release/recipe.json,2367,217f50d3eebfb2498db1ae88505d8516154f4ee047c48260089c59c76d2d147f
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/frozen_release/recipe.sha256,78,7ecf4a815a58ac477bd9d267a5da6dedd4972826ae4ec40ddf8f57c2bc187988
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/frozen_release/target_access_authorization.json,729,60e55d08a8326751682be70d6ca5bda1ff1c3acc56087ddfe326d9860c6ef48f
06_failure_mechanism/composition_warp/02_noise_floor_composition/execution/p4_custody_manifest.json,1024,826704965766185900bb15094acb064b34a4bf3df700cb3807e78fdd0a058a75
06_failure_mechanism/composition_warp/02_noise_floor_composition/report.md,7446,01a79c200c4a02410c8ad825b0ade26212e60ba87ec9708516358e6195b4a412
06_failure_mechanism/composition_warp/02_noise_floor_composition/results/noise_floor_estimates.json,39287,96d82a874a12a11ed68a5881c83938ce1955bf201cb84f5823169f1b2eb24bf2
06_failure_mechanism/composition_warp/02_noise_floor_composition/results/p4_evaluation_declaration.json,265,c4f1a62e32ac5ecf9eac93868d79197bfa2a4404ca8c7785aa38ec084bba1b0c
06_failure_mechanism/composition_warp/02_noise_floor_composition/results/retrain_eval_summary.json,10564,b227bfebeff7ca7235e5d3c5a82eb8614b4a634dac14687d4d402ff5cb8064d3
06_failure_mechanism/composition_warp/02_noise_floor_composition/run.py,47586,424343d027db7136ff0afb013512641655cfdcbb1051cfd07437b182ed21c3dd
06_failure_mechanism/composition_warp/03_peak_warp_prediction/report.md,9666,28929821fc9954ba19b76c1c66f835e499c66836b0df36d9aa9228d2bd7155ac
06_failure_mechanism/composition_warp/03_peak_warp_prediction/results/collision_prediction_vs_observed.json,31976,f3f8a079b0d45d91fc7574ad47b1bca4d719f07e171e3e8195ace59eb8db8987
06_failure_mechanism/composition_warp/03_peak_warp_prediction/results/predicted_p4_peaks.json,96608,9269eee82831cedb510abe30224324e074f6d55361f4d232c06c61980ecf227f
06_failure_mechanism/composition_warp/03_peak_warp_prediction/run.py,32349,eff56c58acbe10a22e7fdd4e1b4d820af01f4b8e27097722a6dc5244d1bed56e
06_failure_mechanism/composition_warp/common.py,17395,39a2f44690825b336d6630753f6cfb52baf9404911b27a22a227691916b2206d
06_failure_mechanism/composition_warp/composition_warp_summary.md,8786,ed579d99d45722e544323a884b75ba52fd19f79d81411ce476fb3b73dfc59f9e
06_failure_mechanism/composition_warp/preregistration.md,11786,9c396bab5aac8b5040b907e8fdb81d934eda576c71102da1969813435197f03d
06_failure_mechanism/README.md,758,d7ce5b536e508348de66dcd7487c8bbe4511f39ef0c75958f84698a17407bb50
CITATION.cff,555,7d54db70e4c162cc48e8278d69e8d8558f46ce7a99935740b035114aaad03eb9
